,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
0,0.9592766400634805,0.9964488842105264,0.9170056956875509,0.9329470198675497,0.9016,27.474300861358643,Completed,PW-AE,50000,minmax,none,,0.1,0.05,covertype
1,0.8969732269078151,0.9863612799999999,0.8366179275270185,0.889589905362776,0.7896,22.605321645736694,Completed,DAE,50000,minmax,none,,0.02,0.05,covertype
2,0.6119283615109711,0.94132472,0.5726269315673289,0.6389162561576355,0.5188,5.676486968994141,Completed,HST,50000,minmax,none,,,0.05,covertype
3,0.9677999269015447,0.9970502147368422,0.9251012145748988,0.9364754098360656,0.914,22.196773529052734,Completed,PW-AE,50000,minmax,none,,0.1,0.05,covertype
4,0.8978204509592649,0.9882653726315789,0.8356964136780651,0.872822299651568,0.8016,20.08587408065796,Completed,DAE,50000,minmax,none,,0.02,0.05,covertype
5,0.8482304256879162,0.9820904042105263,0.7692307692307692,0.7894736842105263,0.75,5.442171335220337,Completed,HST,50000,minmax,none,,,0.05,covertype
6,0.8711370728750795,0.988998972631579,0.8002423752777218,0.8082415340677275,0.7924,21.99850583076477,Completed,PW-AE,50000,minmax,none,,0.1,0.05,covertype
7,0.897012923621992,0.9876707452631579,0.8393044206997695,0.8812142542894853,0.8012,20.069399118423462,Completed,DAE,50000,minmax,none,,0.02,0.05,covertype
8,0.6270875167888509,0.9651596715789474,0.6216366672852106,0.579785392869505,0.67,5.461632490158081,Completed,HST,50000,minmax,none,,,0.05,covertype
9,0.9494765960236698,0.996793962105263,0.8964299725382503,0.8795227097767514,0.914,22.062045097351074,Completed,PW-AE,50000,minmax,none,,0.1,0.05,covertype
10,0.8460441078640013,0.982066652631579,0.7805273833671399,0.7917695473251029,0.7696,19.9255473613739,Completed,DAE,50000,minmax,none,,0.02,0.05,covertype
11,0.5429152069602864,0.9481172631578948,0.5622067930193282,0.5295157299399081,0.5992,5.369817018508911,Completed,HST,50000,minmax,none,,,0.05,covertype
12,0.9295901548926239,0.9934370021052631,0.8607287449392712,0.8713114754098361,0.8504,22.046769380569458,Completed,PW-AE,50000,minmax,none,,0.1,0.05,covertype
13,0.9042464796192148,0.989739545263158,0.843717222571848,0.8870754300838112,0.8044,19.61126947402954,Completed,DAE,50000,minmax,none,,0.02,0.05,covertype
14,0.5888606237857125,0.9318296968421053,0.5668358714043994,0.6014362657091562,0.536,5.300198078155518,Completed,HST,50000,minmax,none,,,0.05,covertype
15,0.9532523396689004,0.9883248622222223,0.9090723334695545,0.9291979949874687,0.8898,21.616105318069458,Completed,PW-AE,50000,minmax,none,,0.1,0.1,covertype
16,0.8048681518856821,0.9597067955555556,0.7549069982530058,0.7763686324244345,0.7346,19.697142601013184,Completed,DAE,50000,minmax,none,,0.02,0.1,covertype
17,0.43097859721317167,0.8607616444444445,0.5201876207118551,0.48152562574493446,0.5656,5.465973854064941,Completed,HST,50000,minmax,none,,,0.1,covertype
18,0.952327766798724,0.9849355111111112,0.9204628374856666,0.9612453733942957,0.883,21.724879026412964,Completed,PW-AE,50000,minmax,none,,0.1,0.1,covertype
19,0.669815005476178,0.9443010577777778,0.6664117028396597,0.638395310496428,0.697,19.741806268692017,Completed,DAE,50000,minmax,none,,0.02,0.1,covertype
20,0.5273528419914892,0.8848400955555555,0.5641116213352171,0.5050600885515496,0.6388,5.341152191162109,Completed,HST,50000,minmax,none,,,0.1,covertype
21,0.9339585650973828,0.9830124622222224,0.8877530157432018,0.9079882894186533,0.8684,21.729381322860718,Completed,PW-AE,50000,minmax,none,,0.1,0.1,covertype
22,0.8490099328649116,0.9638011866666667,0.7725556021821233,0.8124448367166813,0.7364,19.84095072746277,Completed,DAE,50000,minmax,none,,0.02,0.1,covertype
23,0.6607162656857655,0.8930987244444445,0.6062267046700286,0.670790878214459,0.553,5.249205112457275,Completed,HST,50000,minmax,none,,,0.1,covertype
24,0.9523605262056072,0.9834990488888888,0.9224301030060963,0.9720868409393,0.8776,21.763364791870117,Completed,PW-AE,50000,minmax,none,,0.1,0.1,covertype
25,0.8203777529557245,0.9577105377777776,0.7481898632341111,0.7524271844660194,0.744,19.542954444885254,Completed,DAE,50000,minmax,none,,0.02,0.1,covertype
26,0.5056476127716842,0.83799402,0.46820150444495107,0.5442501324854266,0.4108,5.356285333633423,Completed,HST,50000,minmax,none,,,0.1,covertype
27,0.9398615538404138,0.9826862044444444,0.890187891440501,0.9310043668122271,0.8528,21.60696578025818,Completed,PW-AE,50000,minmax,none,,0.1,0.1,covertype
28,0.769553235755223,0.9578527066666667,0.7220355256841094,0.6943674976915974,0.752,19.725866556167603,Completed,DAE,50000,minmax,none,,0.02,0.1,covertype
29,0.7744481280240435,0.9444352688888888,0.7708795983392873,0.7451932051521374,0.7984,5.528735160827637,Completed,HST,50000,minmax,none,,,0.1,covertype
30,0.9020990351157788,0.9844937684210526,0.8567891044160133,0.8849104859335039,0.8304,22.66318416595459,Completed,PW-AE,50000,minmax,none,,0.1,0.05,creditcard
31,0.8659952716919141,0.9789148884210526,0.8327372185987797,0.8783843763870395,0.7916,20.618040323257446,Completed,DAE,50000,minmax,none,,0.02,0.05,creditcard
32,0.8390954306272805,0.9746000042105263,0.7548976926425773,0.828080229226361,0.6936,5.922019004821777,Completed,HST,50000,minmax,none,,,0.05,creditcard
33,0.9134816695559682,0.9880442610526315,0.8672032193158953,0.8724696356275303,0.862,22.706329822540283,Completed,PW-AE,50000,minmax,none,,0.1,0.05,creditcard
