dataset,model,latent_dim,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,lr,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,lr_std
covertype,AE,0.2,0.5621644456620244,0.9842412564001899,0.5771755930922257,0.5685060655608657,0.6291512915129152,13.218003368377685,50000.0,0.02,0.20292919448466695,0.007877870876832243,0.136339024190837,0.21694356223363967,0.027397126208334868,0.325563928151461,0.0,0.0
covertype,AE,0.4,0.7294567891218663,0.9869962198348177,0.7088817666403538,0.7631703325674534,0.66309963099631,13.457592868804932,50000.0,0.02,0.08772398516282648,0.006212386649195486,0.07414657820088008,0.05398995066151148,0.09051503316358712,0.21193713136543355,0.0,0.0
covertype,AE,0.6000000000000001,0.6502163510102095,0.9852946754628288,0.6397218953154752,0.6418804147278543,0.6464944649446493,12.85181450843811,50000.0,0.02,0.13919992935513012,0.006845398746562765,0.1287973106369711,0.13666032557798746,0.1400124681514629,0.18825349616856715,0.0,0.0
covertype,AE,0.8,0.7548207900578523,0.9911930492591351,0.7320997794276136,0.7661471585891954,0.7095940959409595,12.97378649711609,50000.0,0.02,0.1107390451319727,0.005019102649356145,0.0783524190560862,0.10644094747847692,0.10224965076359004,0.23502052856649722,0.0,0.0
covertype,AE,1.0,0.691256144556155,0.990659464461926,0.6719756069807519,0.6830582074837662,0.6653136531365315,12.502435493469239,50000.0,0.02,0.06067505197287488,0.0039762452766303885,0.07534596414673178,0.07912932243090207,0.08835500361526001,0.07042320840676236,0.0,0.0
covertype,AE,1.2,0.7584483440619125,0.9931615091354116,0.7273619792139961,0.7688453842569272,0.6977859778597786,12.31171555519104,50000.0,0.02,0.05352687585737457,0.0013211727105216645,0.05917473455559168,0.06971304026664311,0.09092590866794016,0.05920263799868353,0.0,0.0
covertype,AE,1.4000000000000001,0.7638586601939377,0.9938071126434908,0.7274440378896518,0.7550769876409612,0.7055350553505535,12.177576494216918,50000.0,0.02,0.08807525698992974,0.0030487606753091434,0.07632071095251426,0.11760948944808312,0.04450282412194812,0.04581961784165412,0.0,0.0
covertype,AE,1.6,0.7014616084771735,0.9898441019470245,0.6658471505997332,0.6831197668512244,0.655719557195572,12.161088943481445,50000.0,0.02,0.12269004578124526,0.008001482824252018,0.09166298934433947,0.12810448573705788,0.07120193695616399,0.040418098385205235,0.0,0.0
covertype,AE,1.8,0.7218029502532899,0.9915530550428638,0.6857969871419941,0.6860925697094602,0.6874538745387454,12.212842845916748,50000.0,0.02,0.06930629254404301,0.0017685295492720847,0.06325458548180063,0.08275465415227319,0.05068934264647969,0.05404375778764891,0.0,0.0
covertype,AE,2.0,0.7189651622827796,0.9897810867590661,0.6847186520478883,0.7432326232293349,0.637269372693727,12.254809904098511,50000.0,0.02,0.0979253130550271,0.005267723829016363,0.07667276113482346,0.07718505026041239,0.08709386094067559,0.02627816700346806,0.0,0.0
