,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,latent_dim,lr,dataset
0,0.3959730090733622,0.9704719827132761,0.43967828418230565,0.42634315424610053,0.45387453874538747,13.355216264724731,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
1,0.752464920021365,0.9891036921408884,0.7046332046332047,0.7388663967611336,0.6734317343173432,13.275782346725464,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
2,0.687801690457025,0.9789424371254508,0.6588235294117647,0.7837150127226463,0.5682656826568265,13.819356918334961,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
3,0.7168196422447928,0.9861914220258301,0.6773869346733669,0.7439293598233996,0.6217712177121771,14.75227427482605,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
4,0.6797090028110788,0.982719617927709,0.6480558325024924,0.7049891540130152,0.5996309963099631,14.142606496810913,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
5,0.5468912549970807,0.9659233396288833,0.5510204081632653,0.5541044776119403,0.5479704797047971,13.643561124801636,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
6,0.6976767870450264,0.9890242703227713,0.6647000983284169,0.7115789473684211,0.6236162361623616,14.685470819473267,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
7,0.5888887114363242,0.9838310757243203,0.5925176946410515,0.6554809843400448,0.540590405904059,14.632307529449463,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
8,0.7259252373672721,0.9904224524472589,0.6688034188034189,0.7944162436548223,0.577490774907749,14.474505424499512,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
9,0.6428259503074252,0.9829542275163137,0.6551392891450528,0.6833667334669339,0.6291512915129152,13.636254072189331,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
10,0.7564226256552471,0.985767043161151,0.7178988326848249,0.7592592592592593,0.6808118081180812,13.885793209075928,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
11,0.7754777016825883,0.9910628631337873,0.7696682464454977,0.7914230019493177,0.7490774907749077,14.012436866760254,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
12,0.6999445328251018,0.9891545385185745,0.6610009442870632,0.6769825918762089,0.6457564575645757,13.371429681777954,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
13,0.48423176666539286,0.9611272541210187,0.5093945720250521,0.5865384615384616,0.45018450184501846,13.934932947158813,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
14,0.750924261380409,0.9924022156635495,0.6843718079673137,0.7665903890160183,0.6180811808118081,13.645013809204102,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
15,0.558434532908906,0.980947231830683,0.6259541984732825,0.6482213438735178,0.6051660516605166,13.825310468673706,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
16,0.5917836321067058,0.9812017994618863,0.5892514395393474,0.614,0.566420664206642,13.428606510162354,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
17,0.6701409920727928,0.9749250883264625,0.6496565260058881,0.6939203354297694,0.6107011070110702,13.440523386001587,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
18,0.797901129384346,0.9858423987612435,0.7564234326824255,0.8538283062645011,0.6789667896678967,13.189412593841553,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
19,0.5788130802365664,0.9848178983427588,0.5624404194470924,0.5818540433925049,0.544280442804428,13.304929971694946,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
20,0.8200195528965021,0.9927641463725082,0.7650158061116965,0.8918918918918919,0.6697416974169742,13.601964950561523,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
21,0.7442683700588602,0.9938609807061312,0.7065868263473054,0.6586921850079744,0.7619926199261993,14.13070011138916,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
22,0.795844935711378,0.9938930254885467,0.7507331378299119,0.7983367983367984,0.7084870848708487,13.907639026641846,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
23,0.796165579025082,0.9949626273528294,0.7367491166077739,0.7067796610169491,0.7693726937269373,12.829035520553589,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
24,0.7940135446648994,0.9936025706854182,0.7750472589792061,0.7945736434108527,0.7564575645756457,13.096362590789795,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
25,0.6882852030092756,0.9883043632086206,0.6517690875232776,0.6578947368421053,0.6457564575645757,13.402708292007446,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
26,0.6737054728218699,0.9861623989283687,0.6414728682170542,0.6755102040816326,0.6107011070110702,13.454104900360107,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
27,0.4461386950975495,0.9762459376989743,0.5117967332123412,0.5035714285714286,0.5202952029520295,13.711871862411499,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
28,0.7769602211528952,0.9946265861421201,0.774074074074074,0.7769516728624535,0.7712177121771218,13.576420068740845,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
29,0.671316097889706,0.9873828612118464,0.6357214934409687,0.7015590200445434,0.5811808118081181,13.966079235076904,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
30,0.6424453941355234,0.986660529288782,0.6447105788423154,0.7021739130434783,0.5959409594095941,13.629502296447754,Completed,AE,50000,minmax,none,,0.7000000000000001,0.02,covertype
31,0.7351742804642691,0.9909844485439879,0.7058823529411764,0.6927175843694494,0.7195571955719557,13.443366050720215,Completed,AE,50000,minmax,none,,0.7000000000000001,0.02,covertype
