dataset,model,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,n_trees,height,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,n_trees_std,height_std
covertype,HST,0.28938816908056125,0.9702089469032504,0.3654283548142532,0.31016731016731014,0.4446494464944649,256.57540369033813,50000.0,25.0,15.0,,,,,,,,,
creditcard,HST,0.17158311463182194,0.9608136706272187,0.3383458646616541,0.3813559322033898,0.30405405405405406,260.8753821849823,50000.0,25.0,15.0,,,,,,,,,
shuttle,HST,0.8580042031896201,0.9783653884302399,0.8517099474953882,0.8486990950226244,0.8547422386784392,253.6208860874176,50000.0,25.0,15.0,,,,,,,,,
