optimizer_fn,dataset,model,lr,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,seed,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,seed_std
adam,covertype,AE,0.001,0.5614428097261491,0.9748141066877125,0.5466063348416289,0.5364120781527532,0.5571955719557196,211.22627449035645,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.0020000000000000005,0.3595638746332818,0.9631338021496193,0.40878378378378377,0.37694704049844235,0.44649446494464945,198.6508846282959,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.004000000000000001,0.15944271796400852,0.9356523608909508,0.2706681766704417,0.19526143790849673,0.44095940959409596,240.08825516700745,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.008000000000000004,0.18321443008185165,0.9191959661923442,0.2820097244732577,0.2514450867052023,0.3210332103321033,198.87648916244507,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.016,0.17731182646170612,0.8848776829391489,0.27480916030534347,0.2543171114599686,0.2988929889298893,200.6075279712677,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.03200000000000001,0.15147643771246067,0.8731796959483608,0.2338403041825095,0.2411764705882353,0.22693726937269373,188.46699619293213,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.06399999999999999,0.05310874600603642,0.7062279836676808,0.1533613445378151,0.10719530102790015,0.2693726937269373,189.5226366519928,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.128,0.3591585429971392,0.9349318569007599,0.5176132278936018,0.42402826855123676,0.6642066420664207,190.06833744049072,50000.0,42.0,,,,,,,,
adam,covertype,AE,0.256,0.5720044624954602,0.9697462933624847,0.6104328523862376,0.766016713091922,0.507380073800738,206.76602387428284,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.001,0.7802905973582737,0.9955743879894214,0.7324444444444445,0.7066895368782161,0.7601476014760148,297.2408056259155,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.0020000000000000005,0.5193170729153247,0.9844810737322466,0.48577235772357724,0.5407239819004525,0.44095940959409596,278.0817377567291,50000.0,42.0,,,,,,,,
